Symbol,Period Ending,Next Period Start Opening Price (Period Ending + 1 Day),Next Period End Closing Price (Period Ending + 1 year),Price Percentage Change,Total Revenue,Cost of Revenue,Gross Profit,Research and Development,Sales General and Admin.,Non-Recurring Items,Other Operating Items,Operating Income,Add'l income/expense items,Earnings Before Interest and Tax,Interest Expense,Earnings Before Tax,Income Tax,Minority Interest,Equity Earnings/Loss Unconsolidated Subsidiary,Net Income-Cont. Operations,Net Income,Net Income Applicable to Common Shareholders
PEAK,12/31/2019,34.6,30.23,-12.63005780346821,1987539,0,1987539,0,981079,225937,659989,120534,156509,277043,225619,51424,-17262,-8625,-14531,96954,45530,43987
PEAK,12/31/2018,27.66,34.47,24.62039045553145,1836283,0,1836283,0,812512,55260,549499,419012,905545,1324557,266343,1058214,-17854,-2594,-12381,2119307,1061093,1058424
PEAK,12/31/2017,26.08,27.93,7.093558282208595,1792141,0,1792141,0,762986,166384,534726,328045,390071,718116,307716,410400,-1333,10901,-8465,824569,414169,413013
PEAK,12/31/2016,29.88,25.91,-13.286479250334668,2040486,0,2040486,0,851831,0,568108,620547,211140,831687,464403,367284,4473,11360,-12179,374171,627747,626549
GTES,12/28/2019,13.68,12.95,-5.336257309941524,3087100,1944600,1142500,0,789000,6700,0,346800,9800,356600,157800,198800,-495900,0,-4000,694700,690100,690100
GTES,12/29/2018,13.18,13.73,4.172989377845226,3347600,2017000,1330600,0,826800,7000,0,496800,-17400,479400,175900,303500,31800,0,-25800,271700,245300,245300
GTES,12/30/2017,19.05,13.24,-30.498687664041995,3041700,1823700,1218000,0,794900,20200,0,402900,-58800,344100,234600,109500,-72500,0,-31400,182000,151300,151300
GTES,12/31/2016,19.05,18.5,-2.887139107611552,2747000,1686200,1060800,0,740900,14600,0,305300,4000,309300,216300,93000,21100,0,-26600,71900,57700,57700
CVBF,12/31/2019,21.54,19.5,-9.470752089136486,516892,17120,0,0,181495,6447,15798,0,0,296032,4958,291074,83247,0,0,207827,207827,207827
CVBF,12/31/2018,19.94,21.58,8.224674022066184,405341,9825,0,0,158253,16404,6754,0,0,214105,2990,211115,59112,0,0,152003,152003,152003
CVBF,12/31/2017,23.75,20.23,-14.821052631578945,329344,6044,0,0,137173,2251,-7171,0,0,191047,2252,188795,84384,0,0,104411,104411,104411
CVBF,12/31/2016,23.29,23.49,0.8587376556461971,300602,5957,0,0,129679,5955,-5294,0,0,164305,2019,162286,60857,0,0,101429,101429,101429
NEM,12/31/2019,43.55,59.89,37.52009184845007,9740000,5195000,4545000,415000,888000,5000,1960000,1277000,2717000,3994000,301000,3693000,832000,95000,-79000,2956000,2805000,2805000
NEM,12/31/2018,34.45,43.45,26.124818577648764,7253000,4093000,3160000,350000,436000,369000,1215000,790000,155000,945000,207000,738000,386000,-33000,-39000,319000,341000,341000
