Symbol,Period Ending,Next Period Start Opening Price (Period Ending + 1 Day),Next Period End Closing Price (Period Ending + 1 year),Price Percentage Change,Net Income,Depreciation,Net Income Adjustments,Accounts Receivable,Changes in Inventories,Other Operating Activities,Liabilities,Net Cash Flow-Operating,Capital Expenditures,Investments,Other Investing Activities,Net Cash Flows-Investing,Sale and Purchase of Stock,Net Borrowings,Other Financing Activities,Net Cash Flows-Financing,Effect of Exchange Rate,Net Cash Flow
EL,6/30/2017,96.07,142.74,48.5791610284168,1249000,464000,59000,278000,-92000,-85000,-90000,1790000,-504000,-41000,-1659000,-2204000,-272000,1357000,0,630000,6000,222000
BCDA,12/31/2019,3.72,3.46,-6.989247311827962,-14709,111,3744,1344,127,136,-198,-9445,-146,0,0,-146,9193,625,0,9818,0,227
BCDA,12/31/2018,11.6101,3.68,-68.30345991851922,-13987,88,2774,294,-179,49,-108,-11069,-66,0,0,-66,3804,0,0,3804,0,-7331
BCDA,12/31/2017,22.5002,10.8001,-51.99998222238025,-12308,78,2707,888,-21,-56,41,-8671,-136,0,0,-136,144,0,0,144,0,-8663
BCDA,12/31/2016,42.8404,25.0203,-41.59648369296273,-10310,39,4239,545,33,27,-95,-5522,0,0,18921,18921,22,4374,0,4396,0,17795
GBCI,12/31/2019,46.1,46.01,-0.1952277657266885,210544,50680,-43475,566,1899,0,5078,226649,-16398,-110287,84003,-42682,2896,-219787,284563,-56796,0,127171
GBCI,12/31/2018,39.01,45.99,17.892847987695475,181878,40709,-6189,12012,-2741,0,348,280711,-18637,-965767,111984,-872420,24,83141,597823,595495,0,3786
GBCI,12/31/2017,39.7,39.62,-0.20151133501260804,116377,37310,6848,-4693,2466,0,1139,254741,-10128,25102,8681,23655,0,-28285,-90928,-230933,0,47463
GBCI,12/31/2016,36.87,39,5.777054515866565,121131,44800,-27973,-6670,-1144,0,6621,193087,-8306,-430290,17283,-421313,0,-95852,367406,187514,0,-40712
HOMB,12/31/2019,19.72,19.48,-1.2170385395537446,289539,-520,-9107,-9789,3859,0,-27087,247415,-14898,222364,14190,221656,-83481,-845906,378605,-636409,0,-167338
HOMB,12/31/2018,16.13,19.66,21.88468691878488,300403,-8045,-17430,24078,-2413,0,-736,303902,-7950,-415010,-356618,-779578,-102822,169095,511276,497682,0,22006
HOMB,12/31/2017,23.38,16.34,-30.111206159110345,135083,-6083,68937,-31033,-6451,0,-38408,140071,-5191,-560608,247168,-318631,-20568,202162,476623,597844,0,419284
HOMB,12/31/2016,28.03,23,-17.945058865501252,177146,-16204,796,10985,-1706,0,-11520,175701,-3082,-569636,14035,-558683,-8322,-107846,508072,343808,0,-39174
